#CREATED MARCH 2020, LAUREN MEE, UNIVERSITY OF LIVERPOOL
#TABLE OF GENES, CORRESPONDING TRANSRIPTS (VARIANT-RESOLVED) AND PRODUCT DESCRIPTION FROM APIS MELLIFERA (AmelHAv3.1, GCF_003254395.2)
GeneID	TranscriptID	Gene_Desc
LOC412445	XM_395902.7	 flavin reductase (NADPH) 
LOC412446	XM_395903.7	 SCY1-like protein 2 
LOC412448	XM_395905.6	 zinc transporter ZIP1 
LOC412449	XM_395906.6	 caltractin 
LOC412453	XM_395910.7	 BRISC complex subunit FAM175B 
LOC412456	XM_395913.7	 engulfment and cell motility protein 1 
LOC412457	XM_395914.5	 T-cell activation inhibitor, mitochondrial 
LOC412459	XM_395916.7	 ankyrin repeat domain-containing protein 13D 
LOC412460	XM_395917.7	 putative cystathionine gamma-lyase 2 
LOC412464	XM_395921.7	 nuclear pore complex protein Nup214 
LOC412467	XM_395924.5	 bifunctional purine biosynthesis protein PURH 
LOC412470	XM_395927.7	 MAP kinase-interacting serine/threonine-protein kinase 1 
LOC412471	XM_395928.7	 activin receptor type-2A 
LOC412472	XM_395929.6	 protein lethal(2)denticleless 
LOC412473	XM_395930.6	 39S ribosomal protein L28, mitochondrial 
LOC412475	XM_395932.6	 knirps-related protein 
LOC412476	XM_395933.7	 BTB/POZ domain-containing protein 9 
LOC551337	XM_395934.5	 flotillin-1 
LOC412480	XM_395937.7	 ribosomal RNA processing protein 1 homolog 
LOC412481	XM_395938.6	 protein king tubby 
LOC412488	XM_395945.5	 ribonuclease H2 subunit B 
LOC412489	XM_395946.7	 protein RFT1 homolog 
LOC412491	XM_395948.7	 double-stranded RNA-specific editase 1 
LOC412504	XM_395960.7	 CUE domain-containing protein 1 
LOC412505	XM_395961.7	 translocation protein SEC63 homolog 
LOC412506	XM_395962.6	 general vesicular transport factor p115 
LOC412516	XM_395972.7	 spindle assembly abnormal protein 6 homolog 
LOC412524	XM_395979.6	 calcium release-activated calcium channel protein 1 
LOC412526	XM_395981.7	 protein disulfide-isomerase A6 homolog 
LOC412528	XM_395983.7	 eyes absent homolog 4 
LOC412531	XM_395986.5	 GATOR complex protein NPRL3 
LOC412541	XM_395996.7	 long-chain-fatty-acid--CoA ligase 6 
LOC412548	XM_396003.7	 2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial 
LOC412549	XM_396004.6	 39S ribosomal protein L17, mitochondrial 
LOC412550	XM_396005.7	 E3 ubiquitin-protein ligase RNF34 
LOC412554	XM_396009.7	 transmembrane emp24 domain-containing protein eca 
LOC412557	XM_396012.7	 diphthine methyl ester synthase 
LOC412560	XM_396015.7	 cyclin-dependent kinase 9 
LOC412569	XM_396024.7	 probable 2-oxoglutarate dehydrogenase E1 component DHKTD1 homolog, mitochondrial 
LOC412570	XM_396025.6	 RYamide receptor 
LOC412573	XM_396028.7	 cGMP-dependent 3',5'-cyclic phosphodiesterase 
LOC412574	XM_396029.7	 PR domain zinc finger protein 10 
LOC412580	XM_396035.6	 protein arginine N-methyltransferase 3 
LOC412584	XM_396039.7	 THO complex subunit 5 homolog 
LOC412588	XM_396043.7	 tyrosine-protein kinase Src42A 
LOC412589	XM_396044.5	 BRISC and BRCA1-A complex member 2 
LOC412596	XM_396051.7	 trafficking protein particle complex subunit 12 
LOC412599	XM_396054.7	 arfaptin-2 
LOC412601	XM_396056.7	 mothers against decapentaplegic homolog 3 
LOC412607	XM_396062.7	 uncharacterized LOC412607 
LOC412608	XM_396063.7	 serine/threonine-protein kinase D3 
LOC412611	XM_396066.6	 prenylcysteine oxidase 1 
LOC412619	XM_396074.6	 amidophosphoribosyltransferase 
LOC412620	XM_396075.6	 solute carrier family 17 member 9 
LOC412623	XM_396078.7	 transmembrane protein 94 
LOC412624	XM_396079.6	 methyltransferase-like protein 13 
LOC412630	XM_396085.7	 scavenger receptor class B member 1 
LOC412635	XM_396090.6	 fukutin-related protein 
LOC412636	XM_396091.7	 protein ABHD13 
LOC412638	XM_396093.7	 kinesin 3C 
LOC412641	XM_396096.7	 EF-hand domain-containing family member C2 
LOC412642	XM_396097.7	 UPF0428 protein CXorf56 homolog 
LOC412644	XM_396099.6	 josephin-2 
LOC412662	XM_396117.7	 programmed cell death 6-interacting protein 
LOC412667	XM_396123.7	 proto-oncogene tyrosine-protein kinase receptor Ret 
LOC412670	XM_396126.6	 probable phosphoserine aminotransferase 
LOC412675	XM_396131.7	 aspartate aminotransferase, mitochondrial 
LOC412676	XM_396132.7	 protein mahjong 
LOC412678	XM_396134.7	 putative tricarboxylate transport protein, mitochondrial 
LOC412687	XM_396142.7	 beclin 1-associated autophagy-related key regulator 
LOC412688	XM_396143.7	 ribosome biogenesis protein NOP53 
LOC412690	XM_396145.7	 probable palmitoyltransferase Zdhhc6 
LOC412700	XM_396155.7	 general transcription and DNA repair factor IIH helicase subunit XPD 
LOC412705	XM_396159.5	 YEATS domain-containing protein 4 
LOC412707	XM_396160.7	 vacuolar fusion protein MON1 homolog A 
LOC412708	XM_396161.7	 calcyclin-binding protein 
LOC412710	XM_396163.6	 trafficking protein particle complex subunit 3 
LOC412711	XM_396164.7	 kinesin 2B 
LOC412712	XM_396165.7	 anaphase-promoting complex subunit 7 
LOC412714	XM_396167.7	 cAMP-dependent protein kinase type I regulatory subunit 
LOC412722	XM_396175.7	 protein singed 
LOC412727	XM_396180.7	 cytosolic carboxypeptidase-like protein 5 
LOC412728	XM_396181.7	 rab5 GDP/GTP exchange factor 
LOC412734	XM_396187.6	 CWF19-like protein 1 
LOC412739	XM_396192.7	 roundabout homolog 2 
LOC412741	XM_396194.7	 manganese-transporting ATPase 13A1 
LOC412744	XM_396197.7	 WD repeat domain phosphoinositide-interacting protein 4 
LOC412749	XM_396202.7	 ATP-binding cassette sub-family B member 7, mitochondrial 
LOC412750	XM_396203.7	 DNA topoisomerase I, mitochondrial 
LOC412751	XM_396204.7	 solute carrier family 35 member F5 
LOC412755	XM_396208.7	 WD repeat-containing protein 13 
LOC412759	XM_396212.4	 dynein regulatory complex protein 8 
LOC412762	XM_396215.7	 heparan-sulfate 6-O-sulfotransferase 1-B 
LOC412764	XM_396217.7	 MFS-type transporter SLC18B1 
LOC412767	XM_396220.6	 protein takeout 
LOC412774	XM_396227.7	 uncharacterized LOC412774 
LOC412777	XM_396230.6	 sodium/potassium/calcium exchanger Nckx30C 
LOC412778	XM_396231.6	 chondroitin sulfate proteoglycan 4 
LOC412780	XM_396233.7	 transmembrane protein 8B 
LOC412782	XM_396235.7	 nucleoside diphosphate kinase 7 
LOC412784	XM_396237.6	 mitochondrial intermediate peptidase 
LOC412788	XM_396241.6	 scavenger receptor class B member 1 
LOC412796	XM_396249.7	 3-hydroxyisobutyryl-CoA hydrolase, mitochondrial 
LOC412801	XM_396254.7	 mediator of RNA polymerase II transcription subunit 12 
LOC412804	XM_396257.6	 coiled-coil domain-containing protein 102A 
LOC412806	XM_396259.7	 vesicle transport protein GOT1B 
LOC412808	XM_396261.6	 aminopeptidase Ey 
LOC412817	XM_396270.7	 importin-4 
LOC412823	XM_396275.6	 gamma-tubulin complex component 2 
LOC412827	XM_396279.6	 Bardet-Biedl syndrome 2 protein homolog 
LOC412828	XM_396280.7	 ubiquitin carboxyl-terminal hydrolase MINDY-3 homolog 
LOC412829	XM_396281.7	 arylsulfatase B 
LOC412830	XM_396282.7	 cys-loop ligand-gated ion channel 
LOC412832	XM_396284.6	 structural maintenance of chromosomes protein 2 
LOC412834	XM_396286.7	 importin-11 
LOC412838	XM_396290.5	 alpha-mannosidase 2 
LOC412839	XM_396291.6	 homeobox protein caupolican 
LOC412840	XM_396292.7	 homeobox protein caupolican 
LOC412842	XM_396294.7	 sorting nexin-8 
LOC412843	XM_396295.7	 phosphoenolpyruvate carboxykinase 
LOC412846	XM_396298.7	 NAD-dependent protein deacetylase Sirt6 
LOC412850	XM_396302.7	 SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1 homolog 
LOC412858	XM_396310.6	 hemicentin-2 
LOC412859	XM_396311.7	 hemicentin-2 
LOC412863	XM_396315.7	 histone demethylase UTY 
LOC412864	XM_396316.7	 FUN14 domain-containing protein 1 
LOC412866	XM_396318.7	 E3 ubiquitin-protein ligase SMURF2 
LOC412868	XM_396320.4	 ubiquitin recognition factor in ER-associated degradation protein 1 
LOC412869	XM_396321.6	 sarcoplasmic calcium-binding protein 
LOC412870	XM_396322.7	 mediator of RNA polymerase II transcription subunit 30 
LOC412880	XM_396332.6	 myotubularin-related protein 9 
LOC412886	XM_396338.7	 tubulin alpha-1 chain 
LOC412889	XM_396341.6	 branched-chain-amino-acid aminotransferase, cytosolic 
LOC412896	XM_396348.7	 octopamine receptor beta-2R 
LOC412898	XM_396350.5	 peptidylglycine alpha-hydroxylating monooxygenase 
LOC412913	XM_396365.4	 Golgi SNAP receptor complex member 2 
LOC412914	XM_396366.7	 uncharacterized LOC412914 
LOC412919	XM_396371.7	 TATA box-binding protein-like protein 1 
LOC412923	XM_396374.6	 argininosuccinate synthase 
LOC412924	XM_396375.7	 protein ROP 
LOC412925	XM_396376.7	 D-galactonate transporter 
LOC412926	XM_396377.6	 dipeptidase 1 
LOC412928	XM_396379.7	 regulation of nuclear pre-mRNA domain-containing protein 1B 
LOC412929	XM_396380.7	 androgen-induced gene 1 protein 
LOC412931	XM_396382.6	 U3 small nucleolar RNA-associated protein 15 homolog 
LOC412932	XM_396383.6	 DDB1- and CUL4-associated factor 12 
LOC412935	XM_396386.6	 coiled-coil domain-containing protein 47 
LOC412937	XM_396388.7	 probable elongator complex protein 2 
LOC412943	XM_396394.7	 uncharacterized LOC412943 
LOC412955	XM_396406.7	 protein jim lovell 
LOC412956	XM_396407.6	 heparan sulfate glucosamine 3-O-sulfotransferase 1 
LOC412960	XM_396411.7	 receptor-type tyrosine-protein phosphatase kappa 
LOC412961	XM_396412.7	 protein bicaudal D 
LOC412965	XM_396416.7	 synaptotagmin-14 
LOC412972	XM_396423.7	 WD repeat domain phosphoinositide-interacting protein 3 
LOC412975	XM_396426.7	 E3 ubiquitin-protein ligase parkin 
LOC412979	XM_396430.5	 dual specificity protein phosphatase MPK-4 
LOC412984	XM_396435.7	 39S ribosomal protein S30, mitochondrial 
LOC412985	XM_396436.7	 guanine nucleotide-binding protein-like 1 
LOC412996	XM_396447.6	 estrogen sulfotransferase 
LOC412997	XM_396448.5	 DDB1- and CUL4-associated factor 10 
LOC413000	XM_396451.7	 proton-coupled amino acid transporter-like protein pathetic 
LOC413005	XM_396456.7	 protein NDRG3 
LOC413006	XM_396457.5	 leucine-rich repeat flightless-interacting protein 2 
LOC413011	XM_396462.7	 serine--tRNA ligase, cytoplasmic 
LOC413014	XM_396465.6	 NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5 
LOC413018	XM_396469.5	 exportin-1 
LOC413024	XM_396475.7	 carboxyl-terminal PDZ ligand of neuronal nitric oxide synthase protein-like 
LOC413030	XM_396481.6	 transmembrane protein 189 
LOC413034	XM_396485.7	 rho-related BTB domain-containing protein 1 
LOC413040	XM_396491.6	 G-protein coupled receptor 52 
LOC413048	XM_396499.7	 bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2 
LOC413051	XM_396502.7	 uncharacterized protein F13E9.13, mitochondrial 
LOC413052	XM_396503.7	 uncharacterized LOC413052 
LOC413053	XM_396504.7	 serine-threonine kinase receptor-associated protein 
LOC413055	XM_396506.7	 uncharacterized LOC413055 
LOC413060	XM_396511.7	 DNA-binding protein D-ETS-4 
LOC413065	XM_396516.7	 transmembrane protein 164 
LOC413069	XM_396520.6	 H(+)/Cl(-) exchange transporter 7 
LOC413074	XM_396525.7	 dosage compensation regulator 
LOC413076	XM_396527.7	 ecdysone-induced protein 78C 
LOC413086	XM_396537.7	 DNA ligase 3 
LOC413087	XM_396538.6	 tRNA (uracil-5-)-methyltransferase homolog A 
LOC413089	XM_396540.7	 protein spinster 
LOC413091	XM_396542.7	 serrate RNA effector molecule homolog 
LOC413096	XM_396547.7	 ubiquitin-protein ligase E3C 
LOC413098	XM_396549.6	 glucose dehydrogenase [FAD, quinone] 
LOC413099	XM_396550.7	 enhancer of mRNA-decapping protein 4 
LOC413101	XM_396552.7	 histone acetyltransferase Tip60 
LOC413103	XM_396554.6	 cysteine and histidine-rich protein 1 homolog 
LOC413110	XM_396561.4	 DNA-directed RNA polymerases I, II, and III subunit RPABC1 
LOC413121	XM_396572.7	 39S ribosomal protein L22, mitochondrial 
LOC413128	XM_396579.5	 putative ferric-chelate reductase 1 homolog 
LOC413129	XM_396580.7	 sorting nexin-29 
LOC413130	XM_396581.7	 RNA polymerase-associated protein CTR9 homolog 
LOC413133	XM_396584.5	 heparan sulfate glucosamine 3-O-sulfotransferase 6 
LOC413134	XM_396585.7	 UNC93-like protein 
LOC413137	XM_396588.6	 60S ribosomal protein L15 
LOC413144	XM_396595.5	 actin related protein 11 
LOC413145	XM_396596.7	 eukaryotic translation initiation factor 3 subunit F 
LOC413147	XM_396598.7	 probable ATP-dependent RNA helicase DHX35 
LOC413152	XM_396603.7	 LIM domain kinase 1 
LOC413164	XM_396615.6	 membrane-associated progesterone receptor component 1 
LOC413167	XM_396618.6	 melanotransferrin 
LOC413169	XM_396620.7	 presenilin-1 
LOC413171	XM_396622.7	 myosin-I heavy chain 
LOC413173	XM_396624.7	 THO complex subunit 3 
LOC413176	XM_396627.7	 reticulocyte-binding protein 2 homolog a 
LOC413179	XM_396630.6	 mediator of RNA polymerase II transcription subunit 7 
LOC413181	XM_396632.7	 mortality factor 4-like protein 1 
LOC413183	XM_396634.6	 G1/S-specific cyclin-D2 
LOC413184	XM_396635.6	 YJU2 splicing factor homolog 
LOC413186	XM_396637.7	 mitochondrial pyruvate carrier 3 
LOC413189	XM_396639.7	 NADH-cytochrome b5 reductase 2 
LOC413190	XM_396640.7	 calcium-dependent protein kinase 4 
LOC413192	XM_396642.7	 protein HGH1 homolog 
LOC413195	XM_396645.7	 alsin 
LOC413196	XM_396646.7	 ribosome maturation protein SBDS 
LOC413204	XM_396653.5	 tropomyosin-2 
LOC413205	XM_396654.4	 tropomyosin-2-like 
LOC413207	XM_396656.7	 Na(+)/H(+) exchange regulatory cofactor NHE-RF1 
LOC413209	XM_396658.6	 dnaJ homolog subfamily C member 2 
LOC413213	XM_396662.5	 tubulin polyglutamylase TTLL4 
LOC413222	XM_396670.7	 lamin Dm0 
LOC413239	XM_396685.7	 vacuolar protein sorting-associated protein 26B-like 
LOC413240	XM_396686.6	 palmitoyltransferase ZDHHC3 
LOC413242	XM_396688.7	 bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 
LOC413244	XM_396690.7	 RAB6A-GEF complex partner protein 2 
LOC413245	XM_396691.7	 RNA exonuclease 4 
LOC413246	XM_396692.7	 ras-related protein Rap1 
LOC413250	XM_396696.6	 threonylcarbamoyladenosine tRNA methylthiotransferase 
LOC413252	XM_396698.7	 ATP-binding cassette sub-family F member 2 
LOC413253	XM_396699.7	 ubiquitin-conjugating enzyme E2 J2 
LOC413255	XM_396701.6	 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial 
LOC413256	XM_396702.6	 uncharacterized LOC413256 
LOC413259	XM_396705.6	 neurogenic protein big brain 
LOC413260	XM_396706.6	 neuroligin-4, Y-linked 
LOC413267	XM_396712.6	 protein kintoun 
LOC413270	XM_396715.6	 kelch-like protein 10 
LOC413271	XM_396716.7	 galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase I 
LOC413275	XM_396720.6	 cytoplasmic phosphatidylinositol transfer protein 1 
LOC413278	XM_396723.7	 homer protein homolog 2 
LOC413279	XM_396724.7	 alpha/beta hydrolase domain-containing protein 17B 
LOC413280	XM_396725.7	 acidic leucine-rich nuclear phosphoprotein 32 family member A 
LOC413285	XM_396730.5	 zinc finger CCHC domain-containing protein 24 
LOC413293	XM_396738.6	 anaphase-promoting complex subunit 10 
LOC413297	XM_396742.6	 transmembrane protein 185A 
LOC413299	XM_396744.7	 proteasomal ubiquitin receptor ADRM1 
LOC413305	XM_396750.6	 lysophospholipid acyltransferase 7 
LOC413313	XM_396758.7	 exosome complex component RRP40 
LOC413333	XM_396778.6	 hemicentin-2 
LOC413336	XM_396781.6	 ADP-dependent glucokinase 
LOC413340	XM_396785.7	 NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial 
LOC413343	XM_396788.6	 nucleoporin Nup37 
LOC413344	XM_396789.6	 exportin-5 
LOC413346	XM_396791.5	 endoglucanase E-4 
LOC413350	XM_396795.6	 lachesin 
LOC413351	XM_396796.6	 integrator complex subunit 7 
LOC413357	XM_396802.7	 ubiquitin carboxyl-terminal hydrolase 31 
LOC413361	XM_396806.6	 TBC1 domain family member 16 
LOC413362	XM_396807.7	 ATP-dependent DNA helicase Q1-like 
LOC413365	XM_396810.7	 nucleoporin SEH1 
LOC413368	XM_396813.7	 uncharacterized LOC413368 
LOC413370	XM_396815.6	 hemicentin-2 
LOC413371	XM_396816.6	 mothers against decapentaplegic homolog 6 
LOC413374	XM_396819.7	 putative inhibitor of apoptosis 
LOC413376	XM_396821.6	 E3 ubiquitin-protein ligase TRIM37 
LOC413379	XM_396824.6	 yellow-g 
LOC413382	XM_396827.6	 SAM and SH3 domain-containing protein 1 
LOC413383	XM_396828.7	 carbonic anhydrase-related protein 10 
LOC413385	XM_396830.7	 uncharacterized LOC413385 
LOC413388	XM_396833.7	 histone-lysine N-methyltransferase EHMT2 
LOC413391	XM_396835.7	 homeobox protein MSX-2 
LOC413394	XM_396838.6	 vesicle-trafficking protein SEC22b-B 
LOC413398	XM_396842.7	 39S ribosomal protein L32, mitochondrial 
LOC413404	XM_396848.7	 ribosome biogenesis protein WDR12 homolog 
LOC413407	XM_396851.7	 transcription elongation factor B polypeptide 3 
LOC413408	XM_396852.6	 scavenger receptor class B member 1 
LOC413409	XM_396853.7	 cytoplasmic dynein 1 intermediate chain 
LOC413411	XM_396855.6	 myotubularin-related protein 14 
LOC413418	XM_396862.7	 structural maintenance of chromosomes protein 4 
LOC413425	XM_396869.7	 phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta 
LOC413427	XM_396871.7	 uncharacterized LOC413427 
LOC413429	XM_396873.6	 acid phosphatase type 7 
LOC413430	XM_396874.7	 RAC serine/threonine-protein kinase 
LOC413435	XM_396879.6	 mannose-1-phosphate guanyltransferase alpha-A 
LOC413437	XM_396881.6	 protein unc-119 homolog B 
LOC413440	XM_396884.7	 protein kibra 
LOC413448	XM_396892.6	 raf homolog serine/threonine-protein kinase Raf 
LOC413450	XM_396894.6	 sorting and assembly machinery component 50 homolog 
LOC413451	XM_396895.7	 rho GTPase-activating protein gacF 
LOC413460	XM_396904.7	 sorting nexin-13 
LOC413462	XM_396906.7	 cyclin-G-associated kinase 
LOC413464	XM_396908.7	 tyrosine-protein kinase Src64B 
LOC413468	XM_396912.7	 potential E3 ubiquitin-protein ligase ariadne-1 
LOC413470	XM_396914.7	 60S ribosomal protein L17 
LOC413471	XM_396915.6	 sodium/potassium-transporting ATPase subunit alpha-B 
LOC413472	XM_396916.7	 innexin shaking-B 
LOC413474	XM_396918.7	 nuclear hormone receptor FTZ-F1 beta 
LOC413478	XM_396922.7	 spermine oxidase 
LOC413481	XM_396925.7	 probable chitinase 10 
LOC413486	XM_396930.7	 cytochrome b5 
LOC413489	XM_396933.7	 deoxyribonuclease-2-alpha 
LOC413490	XM_396934.7	 clavesin-2 
LOC413493	XM_396937.7	 inhibitor of nuclear factor kappa-B kinase subunit epsilon 
LOC413495	XM_396939.6	 mediator of RNA polymerase II transcription subunit 27 
LOC413498	XM_396942.7	 F-box only protein 21 
LOC413499	XM_396943.5	 cell division cycle protein 23 homolog 
LOC413500	XM_396944.7	 protein Wnt-10b 
LOC413501	XM_396945.7	 protein Wnt-6 
LOC413512	XM_396955.7	 coiled-coil and C2 domain-containing protein 1-like 
LOC413515	XM_396958.7	 zinc finger protein 62 
LOC413517	XM_396960.5	 phosphate carrier protein, mitochondrial 
LOC413520	XM_396963.7	 mediator of RNA polymerase II transcription subunit 4 
LOC413523	XM_396966.7	 pre-mRNA-processing factor 17 
LOC413524	XM_396967.6	 exocyst complex component 1 
LOC413529	XM_396972.7	 something about silencing protein 10 
LOC413533	XM_396976.7	 GTP-binding protein 10 homolog 
LOC413539	XM_396981.7	 insulin-degrading enzyme 
LOC413544	XM_396986.6	 peptidylprolyl isomerase domain and WD repeat-containing protein 1 
LOC413547	XM_396989.6	 WD and tetratricopeptide repeats protein 1 
LOC413548	XM_396990.7	 RNA helicase aquarius 
LOC413549	XM_396991.7	 chondroitin sulfate synthase 1 
LOC413551	XM_396993.7	 mitochondrial coenzyme A transporter SLC25A42 
LOC413558	XM_396999.7	 photoreceptor-specific nuclear receptor 
LOC413560	XM_397001.6	 uncharacterized LOC413560 
LOC413562	XM_397003.7	 rho guanine nucleotide exchange factor 17 
LOC413567	XM_397008.5	 L-xylulose reductase 
LOC413573	XM_397014.7	 set1/Ash2 histone methyltransferase complex subunit ASH2 
LOC413576	XM_397017.6	 facilitated trehalose transporter Tret1-2 homolog 
LOC413588	XM_397030.5	 bystin 
LOC413596	XM_397038.7	 receptor-type guanylate cyclase gcy-4 
LOC413601	XM_397043.7	 adenine phosphoribosyltransferase 
LOC413605	XM_397047.7	 cytochrome c1, heme protein, mitochondrial 
LOC413612	XM_397054.6	 uncharacterized protein C1orf50 homolog 
LOC413613	XM_397055.7	 B-cell receptor-associated protein 31 
LOC413614	XM_397056.7	 ras-related protein Rab-14 
LOC413618	XM_397060.5	 uncharacterized LOC413618 
LOC413619	XM_397061.7	 RNA polymerase II subunit A C-terminal domain phosphatase SSU72 
LOC413620	XM_397062.7	 uncharacterized LOC413620 
LOC413623	XM_397065.6	 kelch-like protein diablo 
LOC413631	XM_397073.7	 vanin-like protein 1 
LOC413636	XM_397078.6	 exportin-7 
LOC413637	XM_397079.7	 F-box/SPRY domain-containing protein 1 
LOC413643	XM_397085.7	 N-acetylglucosaminyl-phosphatidylinositol biosynthetic protein 
LOC413650	XM_397092.6	 nuclear RNA export factor 1 
LOC413652	XM_397094.7	 ATP-binding cassette sub-family F member 3 
LOC413653	XM_397095.6	 uncharacterized LOC413653 
LOC413655	XM_397097.6	 3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial 
LOC413660	XM_397101.7	 ATP-dependent RNA helicase DDX54 
LOC413666	XM_397107.7	 peroxisome biogenesis factor 1 
LOC413668	XM_397109.6	 run domain Beclin-1-interacting and cysteine-rich domain-containing protein 
LOC413670	XM_397111.6	 uncharacterized F-box/LRR-repeat protein C02F5.7 
LOC413672	XM_397113.7	 hexosaminidase D 
LOC413675	XM_397116.7	 nuclear pore complex protein Nup107 
LOC413677	XM_397118.7	 rho guanine nucleotide exchange factor 10 
LOC413679	XM_397120.7	 cuticular protein analogous to peritrophins 3-E 
LOC413684	XM_397125.7	 gustatory receptor for sugar taste 64f 
LOC413686	XM_397127.6	 H/ACA ribonucleoprotein complex subunit 1 
LOC413688	XM_397129.7	 DNA-directed RNA polymerase III subunit RPC5 
LOC413689	XM_397130.7	 solute carrier family 12 member 8 
LOC413690	XM_397131.7	 helicase SKI2W 
LOC413697	XM_397138.7	 PTS-dependent dihydroxyacetone kinase 1, dihydroxyacetone-binding subunit DhaK 
LOC413698	XM_397139.5	 octopamine receptor beta-1R 
LOC413699	XM_397140.7	 ubiquitin thioesterase trabid 
LOC413702	XM_397143.7	 hormone-sensitive lipase 
LOC413708	XM_397149.5	 delta-aminolevulinic acid dehydratase 
LOC413714	XM_397155.7	 ATP synthase mitochondrial F1 complex assembly factor 2 
LOC413720	XM_397160.6	 nucleolar protein 14 homolog 
LOC413728	XM_397168.6	 NAD-dependent protein deacetylase sirtuin-7 
LOC413730	XM_397170.6	 probable cytochrome P450 301a1, mitochondrial 
LOC413732	XM_397171.6	 Golgi apparatus protein 1 
LOC413735	XM_397174.7	 glutamate--cysteine ligase regulatory subunit 
LOC413736	XM_397175.6	 serine/threonine-protein kinase SIK2 
LOC413738	XM_397177.7	 uncharacterized LOC413738 
LOC413740	XM_397179.7	 iodotyrosine deiodinase 1 
LOC413742	XM_397181.7	 signal transducer and activator of transcription 5B 
LOC413746	XM_397185.5	 adrenodoxin 
LOC413762	XM_397201.7	 complement component 1 Q subcomponent-binding protein, mitochondrial 
LOC413763	XM_397202.7	 hydroxymethylglutaryl-CoA synthase 1 
LOC413766	XM_397205.7	 protein suppressor of hairy wing 
LOC413774	XM_397213.6	 39S ribosomal protein L47, mitochondrial 
LOC413781	XM_397220.7	 surfeit locus protein 1 
LOC413782	XM_397221.7	 cartilage oligomeric matrix protein 
LOC413787	XM_397226.7	 tetratricopeptide repeat protein 39B 
LOC413789	XM_397228.7	 elongation of very long chain fatty acids protein AAEL008004 
LOC413793	XM_397232.5	 enhancer of polycomb homolog 1 
LOC413794	XM_397233.7	 translin 
LOC413796	XM_397235.7	 methionine--tRNA ligase, cytoplasmic 
LOC413802	XM_397241.7	 pleckstrin homology domain-containing family M member 2 
LOC413809	XM_397248.7	 mitogen-activated protein kinase kinase kinase 7 
LOC413812	XM_397251.7	 formin-binding protein 1-like 
LOC413813	XM_397252.7	 ubiquitin carboxyl-terminal hydrolase isozyme L5 
LOC413822	XM_397261.7	 ubiquitin-conjugating enzyme E2 L3 
LOC413825	XM_397264.6	 probable ribonuclease ZC3H12C 
LOC413827	XM_397266.6	 ras-related protein Rab-40C 
LOC413829	XM_397268.6	 diuretic hormone receptor 
LOC413831	XM_397270.7	 sorting nexin lst-4 
LOC413834	XM_397273.7	 atypical protein kinase C 
LOC413835	XM_397274.7	 RNA-binding protein 1 
LOC413840	XM_397279.7	 glucose-6-phosphate exchanger SLC37A2 
LOC413842	XM_397281.7	 splicing factor U2af 38 kDa subunit 
LOC413844	XM_397283.7	 ATP-binding cassette sub-family G member 5 
LOC413852	XM_397291.7	 nitrilase and fragile histidine triad fusion protein NitFhit 
LOC413854	XM_397293.7	 xylosyltransferase oxt 
LOC413869	XM_397308.7	 retinol dehydrogenase 11 
LOC413875	XM_397314.7	 60S ribosomal protein L31 
LOC413877	XM_397316.5	 nuclear cap-binding protein subunit 2 
LOC413878	XM_397317.7	 glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial 
LOC413879	XM_397318.7	 CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase, mitochondrial 
LOC413881	XM_397320.7	 AP-3 complex subunit sigma-2 
LOC413891	XM_397330.6	 NADH-ubiquinone oxidoreductase 49 kDa subunit 
LOC413892	XM_397331.7	 ankyrin repeat domain-containing protein 65 
LOC413895	XM_397334.6	 bone morphogenetic protein receptor type-2 
LOC413899	XM_397338.6	 tetratricopeptide repeat protein 8 
LOC413906	XM_397345.6	 monocarboxylate transporter 10 
LOC413908	XM_397347.6	 cytochrome P450 6A1 
LOC413912	XM_397351.7	 constitutive coactivator of PPAR-gamma-like protein 1 
LOC413915	XM_397354.7	 Golgi SNAP receptor complex member 1 
LOC413916	XM_397355.6	 transmembrane protein 64 
LOC413924	XM_397363.7	 glyceraldehyde-3-phosphate dehydrogenase 
LOC413928	XM_397367.5	 39S ribosomal protein L13, mitochondrial 
LOC413929	XM_397368.6	 egl nine homolog 1 
LOC413930	XM_397369.6	 tetratricopeptide repeat protein 30A 
LOC413933	XM_397372.7	 8-oxo-dGDP phosphatase NUDT18 
LOC413942	XM_397379.7	 acyl-CoA synthetase short-chain family member 3, mitochondrial 
LOC413943	XM_397380.5	 eukaryotic peptide chain release factor GTP-binding subunit ERF3A 
LOC413944	XM_397381.6	 exosome complex exonuclease RRP44 
LOC413946	XM_397383.6	 myocyte-specific enhancer factor 2 
